step,agent_id,name,role,x,y,place,in_place,stress
1,0,Aki,Commander（指揮官）,8,0,greenhouse,True,0.22
1,1,Ryo,Pilot（パイロット）,-38,35,site_A,True,0.52
1,2,Ken,Mechanical Engineer（機械エンジニア）,-8,0,power_plant,True,0.32000000000000006
1,3,Mina,Life Scientist（生命科学者）,0,10,lab,True,0.27
1,4,Sora,Geologist（地質学者）,25,36,site_B,True,0.52
1,5,Taro,EVA Specialist（船外活動スペシャリスト）,0,10,lab,True,0.27
1,6,Yui,Communications Officer（通信担当）,8,0,greenhouse,True,0.22
1,7,Hana,Medical Doctor（医師）,0,0,habitat,True,0.0
1,8,Pochi,Mission Dog（ペットの犬）,-38,35,site_A,True,0.52
2,0,Aki,Commander（指揮官）,8,0,greenhouse,True,0.34
2,1,Ryo,Pilot（パイロット）,25,36,site_B,True,1.0
2,2,Ken,Mechanical Engineer（機械エンジニア）,0,10,lab,True,0.5900000000000001
2,3,Mina,Life Scientist（生命科学者）,0,0,habitat,True,0.14
2,4,Sora,Geologist（地質学者）,25,36,site_B,True,0.9400000000000001
2,5,Taro,EVA Specialist（船外活動スペシャリスト）,-8,0,power_plant,True,0.5900000000000001
2,6,Yui,Communications Officer（通信担当）,8,0,greenhouse,True,0.34
2,7,Hana,Medical Doctor（医師）,0,0,habitat,True,0.0
2,8,Pochi,Mission Dog（ペットの犬）,25,36,site_B,True,1.0
3,0,Aki,Commander（指揮官）,0,0,habitat,True,0.21000000000000002
3,1,Ryo,Pilot（パイロット）,25,36,site_B,True,1.0
3,2,Ken,Mechanical Engineer（機械エンジニア）,-8,0,power_plant,True,0.91
3,3,Mina,Life Scientist（生命科学者）,0,10,lab,True,0.41000000000000003
3,4,Sora,Geologist（地質学者）,-38,35,site_A,True,1.0
3,5,Taro,EVA Specialist（船外活動スペシャリスト）,0,10,lab,True,0.8600000000000001
3,6,Yui,Communications Officer（通信担当）,8,0,greenhouse,True,0.4600000000000001
3,7,Hana,Medical Doctor（医師）,0,10,lab,True,0.27
3,8,Pochi,Mission Dog（ペットの犬）,25,36,site_B,True,1.0
4,0,Aki,Commander（指揮官）,0,10,lab,True,0.48
4,1,Ryo,Pilot（パイロット）,25,36,site_B,True,1.0
4,2,Ken,Mechanical Engineer（機械エンジニア）,8,0,greenhouse,True,1.0
4,3,Mina,Life Scientist（生命科学者）,0,0,habitat,True,0.28
4,4,Sora,Geologist（地質学者）,25,36,site_B,True,1.0
4,5,Taro,EVA Specialist（船外活動スペシャリスト）,0,0,habitat,True,0.7300000000000001
4,6,Yui,Communications Officer（通信担当）,8,0,greenhouse,True,0.5800000000000001
4,7,Hana,Medical Doctor（医師）,0,0,habitat,True,0.14
4,8,Pochi,Mission Dog（ペットの犬）,25,36,site_B,True,1.0
5,0,Aki,Commander（指揮官）,0,0,habitat,True,0.35
5,1,Ryo,Pilot（パイロット）,25,36,site_B,True,1.0
5,2,Ken,Mechanical Engineer（機械エンジニア）,-8,0,power_plant,True,1.0
5,3,Mina,Life Scientist（生命科学者）,0,0,habitat,True,0.05000000000000003
5,4,Sora,Geologist（地質学者）,25,36,site_B,True,1.0
5,5,Taro,EVA Specialist（船外活動スペシャリスト）,0,10,lab,True,1.0
5,6,Yui,Communications Officer（通信担当）,8,0,greenhouse,True,0.7000000000000001
5,7,Hana,Medical Doctor（医師）,0,10,lab,True,0.41000000000000003
5,8,Pochi,Mission Dog（ペットの犬）,25,36,site_B,True,1.0
6,0,Aki,Commander（指揮官）,0,10,lab,True,0.62
6,1,Ryo,Pilot（パイロット）,25,36,site_B,True,1.0
6,2,Ken,Mechanical Engineer（機械エンジニア）,8,0,greenhouse,True,1.0
6,3,Mina,Life Scientist（生命科学者）,0,10,lab,True,0.32000000000000006
6,4,Sora,Geologist（地質学者）,25,36,site_B,True,1.0
6,5,Taro,EVA Specialist（船外活動スペシャリスト）,0,0,habitat,True,0.87
6,6,Yui,Communications Officer（通信担当）,8,0,greenhouse,True,0.8200000000000001
6,7,Hana,Medical Doctor（医師）,0,0,habitat,True,0.28
6,8,Pochi,Mission Dog（ペットの犬）,25,36,site_B,True,1.0
7,0,Aki,Commander（指揮官）,0,0,habitat,True,0.49
7,1,Ryo,Pilot（パイロット）,25,36,site_B,True,1.0
7,2,Ken,Mechanical Engineer（機械エンジニア）,-8,0,power_plant,True,1.0
7,3,Mina,Life Scientist（生命科学者）,0,0,habitat,True,0.19000000000000006
7,4,Sora,Geologist（地質学者）,25,36,site_B,True,1.0
7,5,Taro,EVA Specialist（船外活動スペシャリスト）,0,10,lab,True,1.0
7,6,Yui,Communications Officer（通信担当）,8,0,greenhouse,True,0.9400000000000001
7,7,Hana,Medical Doctor（医師）,0,0,habitat,True,0.05000000000000003
7,8,Pochi,Mission Dog（ペットの犬）,25,36,site_B,True,1.0
8,0,Aki,Commander（指揮官）,0,10,lab,True,0.76
8,1,Ryo,Pilot（パイロット）,-38,35,site_A,True,1.0
8,2,Ken,Mechanical Engineer（機械エンジニア）,8,0,greenhouse,True,1.0
8,3,Mina,Life Scientist（生命科学者）,0,10,lab,True,0.4600000000000001
8,4,Sora,Geologist（地質学者）,-38,35,site_A,True,1.0
8,5,Taro,EVA Specialist（船外活動スペシャリスト）,0,0,habitat,True,0.87
